"","fighter","winner","match_id","weight_class","date","opponent"
"1","Adrian Yanez",1,1,"Bantamweight","2021-03-20","Gustavo Lopez"
"2","Trevin Giles",1,2,"Middleweight","2021-03-20","Roman Dolidze"
"3","Tai Tuivasa",1,3,"Heavyweight","2021-03-20","Harry Hunsucker"
"4","Cheyanne Buys",0,4,"WomenStrawweight","2021-03-20","Montserrat Conejo"
"5","Marion Reneau",0,5,"WomenBantamweight","2021-03-20","Macy Chiasson"
"6","Leonardo Santos",0,6,"Lightweight","2021-03-20","Grant Dawson"
"7","Song Kenan",0,7,"Welterweight","2021-03-20","Max Griffin"
"8","Derek Brunson",1,8,"Middleweight","2021-03-20","Kevin Holland"
"9","Montel Jackson",1,9,"Bantamweight","2021-03-20","Jesse Strader"
"10","Bruno Silva",1,10,"Flyweight","2021-03-20","JP Buys"
"11","Manel Kape",0,11,"Flyweight","2021-03-13","Matheus Nicolau"
"12","Misha Cirkunov",0,12,"LightHeavyweight","2021-03-13","Ryan Spann"
"13","Leon Edwards",0.5,13,"Welterweight","2021-03-13","Belal Muhammad"
"14","Charles Jourdain",1,14,"Featherweight","2021-03-13","Marcelo Rojo"
"15","Eryk Anders",0.5,15,"Middleweight","2021-03-13","Darren Stewart"
"16","Angela Hill",1,16,"WomenStrawweight","2021-03-13","Ashley Yoder"
"17","Jonathan Martinez",0,17,"Bantamweight","2021-03-13","Davey Grant"
"18","Dan Ige",1,18,"Featherweight","2021-03-13","Gavin Tucker"
"19","Nasrat Haqparast",1,19,"Lightweight","2021-03-13","Rafa Garcia"
"20","Cortney Casey",0,20,"WomenFlyweight","2021-03-13","JJ Aldrich"
"21","Matthew Semelsberger",1,21,"Welterweight","2021-03-13","Jason Witt"
"22","Rani Yahya",1,22,"Bantamweight","2021-03-13","Ray Rodriguez"
"23","Gloria de Paula",0,23,"WomenStrawweight","2021-03-13","Jinh Yu Frey"
"24","Dominick Cruz",1,24,"Bantamweight","2021-03-06","Casey Kenney"
"25","Song Yadong",0,25,"Bantamweight","2021-03-06","Kyler Phillips"
"26","Petr Yan",0,26,"Bantamweight","2021-03-06","Aljamain Sterling"
"27","Jan Blachowicz",1,27,"LightHeavyweight","2021-03-06","Israel Adesanya"
"28","Thiago Santos",0,28,"LightHeavyweight","2021-03-06","Aleksandar Rakic"
"29","Joseph Benavidez",0,29,"Flyweight","2021-03-06","Askar Askarov"
"30","Amanda Nunes",1,30,"WomenFeatherweight","2021-03-06","Megan Anderson"
"31","Islam Makhachev",1,31,"Lightweight","2021-03-06","Drew Dober"
"32","Tim Elliott",1,32,"Flyweight","2021-03-06","Jordan Espinosa"
"33","Livinha Souza",0,33,"WomenStrawweight","2021-03-06","Amanda Lemos"
"34","Rogerio Bontorin",0,34,"Flyweight","2021-03-06","Kai Kara-France"
"35","Uros Medic",1,35,"Lightweight","2021-03-06","Aalon Cruz"
"36","Kennedy Nzechukwu",1,36,"LightHeavyweight","2021-03-06","Carlos Ulberg"
"37","Sean Brady",1,37,"Welterweight","2021-03-06","Jake Matthews"
"38","Mario Bautista",0,38,"Bantamweight","2021-03-06","Trevin Jones"
"39","Jairzinho Rozenstruik",0,39,"Heavyweight","2021-02-27","Ciryl Gane"
"40","Montana De La Rosa",0.5,40,"WomenFlyweight","2021-02-27","Mayra Bueno Silva"
"41","Vince Cachero",0,41,"Bantamweight","2021-02-27","Ronnie Lawrence"
"42","Alexander Hernandez",0,42,"Lightweight","2021-02-27","Thiago Moises"
"43","Pedro Munhoz",1,43,"Bantamweight","2021-02-27","Jimmie Rivera"
"44","Alex Caceres",1,44,"Featherweight","2021-02-27","Kevin Croom"
"45","Alexis Davis",1,45,"WomenBantamweight","2021-02-27","Sabina Mazo"
"46","Nikita Krylov",0,46,"LightHeavyweight","2021-02-27","Magomed Ankalaev"
"47","Dustin Jacoby",1,47,"LightHeavyweight","2021-02-27","Maxim Grishin"
"48","Aleksei Oleinik",0,48,"Heavyweight","2021-02-20","Chris Daukaus"
"49","Charles Rosa",0,49,"Featherweight","2021-02-20","Darrick Minner"
"50","Phil Hawes",1,50,"Middleweight","2021-02-20","Nassourdine Imavov"
"51","Curtis Blaydes",0,51,"Heavyweight","2021-02-20","Derrick Lewis"
"52","Eddie Wineland",0,52,"Bantamweight","2021-02-20","John Castaneda"
"53","Andrei Arlovski",0,53,"Heavyweight","2021-02-20","Tom Aspinall"
"54","Jared Gordon",1,54,"Featherweight","2021-02-20","Danny Chavez"
"55","Ketlen Vieira",0,55,"WomenBantamweight","2021-02-20","Yana Kunitskaya"
"56","Aiemann Zahabi",1,56,"Bantamweight","2021-02-20","Drako Rodriguez"
"57","Serghei Spivac",1,57,"Heavyweight","2021-02-20","Jared Vanderaa"
"58","Nate Landwehr",0,58,"Featherweight","2021-02-20","Julian Erosa"
"59","Shana Dobson",0,59,"WomenFlyweight","2021-02-20","Casey O'Neill"
"60","Maycee Barber",0,60,"WomenFlyweight","2021-02-13","Alexa Grasso"
"61","Belal Muhammad",1,61,"Welterweight","2021-02-13","Dhiego Lima"
"62","Maki Pitolo",0,62,"Middleweight","2021-02-13","Julian Marquez"
"63","Kamaru Usman",1,63,"Welterweight","2021-02-13","Gilbert Burns"
"64","Ricky Simon",1,64,"Featherweight","2021-02-13","Brian Kelleher"
"65","Kelvin Gastelum",1,65,"Middleweight","2021-02-13","Ian Heinisch"
"66","Polyana Viana",1,66,"WomenStrawweight","2021-02-13","Mallory Martin"
"67","Rodolfo Vieira",0,67,"Middleweight","2021-02-13","Anthony Hernandez"
"68","Gabe Green",1,68,"Welterweight","2021-02-13","Philip Rowe"
